trip_id,arrival_time,departure_time,stop_id,stop_sequence
RTD6055441,12:45:00,12:45:00,12011377,3
RTD6055441,12:48:00,12:48:00,1537439,4
RTD6055441,12:52:00,12:52:00,12011431,5
RTD6055441,12:56:00,12:56:00,12011386,6
RTD6055441,13:00:00,13:00:00,12011322,7
RTD6055441,13:04:00,13:04:00,12011347,8
RTD6055441,13:09:00,13:09:00,12011445,9
RTD6055441,13:14:00,13:14:00,12135124,10
RTD6055506,13:00:00,13:00:00,12135125,1
RTD6055506,13:10:00,13:10:00,12011430,2
RTD6055506,13:15:00,13:15:00,12011377,3
RTD6055506,13:18:00,13:18:00,1537439,4
RTD6055506,13:22:00,13:22:00,12011431,5
RTD6055506,13:26:00,13:26:00,12011386,6
RTD6055506,13:30:00,13:30:00,12011322,7
RTD6055506,13:34:00,13:34:00,12011347,8
RTD6055506,13:39:00,13:39:00,12011445,9
RTD6055506,13:44:00,13:44:00,12135124,10
RTD6055442,13:00:00,13:00:00,12135125,1
RTD6055442,13:10:00,13:10:00,12011430,2
RTD6055442,13:15:00,13:15:00,12011377,3
RTD6055442,13:18:00,13:18:00,1537439,4
RTD6055442,13:22:00,13:22:00,12011431,5
RTD6055442,13:26:00,13:26:00,12011386,6
RTD6055442,13:30:00,13:30:00,12011322,7
RTD6055442,13:34:00,13:34:00,12011347,8
RTD6055442,13:39:00,13:39:00,12011445,9
RTD6055442,13:44:00,13:44:00,12135124,10
RTD6055507,13:30:00,13:30:00,12135125,1
RTD6055507,13:40:00,13:40:00,12011430,2
RTD6055507,13:45:00,13:45:00,12011377,3
RTD6055507,13:48:00,13:48:00,1537439,4
RTD6055507,13:52:00,13:52:00,12011431,5
RTD6055507,13:56:00,13:56:00,12011386,6
RTD6055507,14:00:00,14:00:00,12011322,7
RTD6055507,14:04:00,14:04:00,12011347,8
RTD6055507,14:09:00,14:09:00,12011445,9
RTD6055507,14:14:00,14:14:00,12135124,10
RTD6055443,13:30:00,13:30:00,12135125,1
RTD6055443,13:40:00,13:40:00,12011430,2
RTD6055443,13:45:00,13:45:00,12011377,3
RTD6055443,13:48:00,13:48:00,1537439,4
RTD6055443,13:52:00,13:52:00,12011431,5
RTD6055443,13:56:00,13:56:00,12011386,6
RTD6055443,14:00:00,14:00:00,12011322,7
RTD6055443,14:04:00,14:04:00,12011347,8
RTD6055443,14:09:00,14:09:00,12011445,9
RTD6055443,14:14:00,14:14:00,12135124,10
RTD6055508,14:00:00,14:00:00,12135125,1
RTD6055508,14:10:00,14:10:00,12011430,2
RTD6055508,14:15:00,14:15:00,12011377,3
RTD6055508,14:18:00,14:18:00,1537439,4
RTD6055508,14:22:00,14:22:00,12011431,5
RTD6055508,14:26:00,14:26:00,12011386,6
RTD6055508,14:30:00,14:30:00,12011322,7
RTD6055508,14:34:00,14:34:00,12011347,8
RTD6055508,14:39:00,14:39:00,12011445,9
RTD6055508,14:44:00,14:44:00,12135124,10
RTD6055444,14:00:00,14:00:00,12135125,1
RTD6055444,14:10:00,14:10:00,12011430,2
RTD6055444,14:15:00,14:15:00,12011377,3
RTD6055444,14:18:00,14:18:00,1537439,4
RTD6055444,14:22:00,14:22:00,12011431,5
RTD6055444,14:26:00,14:26:00,12011386,6
RTD6055444,14:30:00,14:30:00,12011322,7
RTD6055444,14:34:00,14:34:00,12011347,8
RTD6055444,14:39:00,14:39:00,12011445,9
RTD6055444,14:44:00,14:44:00,12135124,10
RTD6055509,14:30:00,14:30:00,12135125,1
RTD6055509,14:40:00,14:40:00,12011430,2
RTD6055509,14:45:00,14:45:00,12011377,3
RTD6055509,14:48:00,14:48:00,1537439,4
RTD6055509,14:52:00,14:52:00,12011431,5
RTD6055509,14:56:00,14:56:00,12011386,6
RTD6055509,15:00:00,15:00:00,12011322,7
RTD6055509,15:04:00,15:04:00,12011347,8
RTD6055509,15:09:00,15:09:00,12011445,9
RTD6055509,15:14:00,15:14:00,12135124,10
RTD6055445,14:30:00,14:30:00,12135125,1
RTD6055445,14:40:00,14:40:00,12011430,2
RTD6055445,14:45:00,14:45:00,12011377,3
RTD6055445,14:48:00,14:48:00,1537439,4
RTD6055445,14:52:00,14:52:00,12011431,5
RTD6055445,14:56:00,14:56:00,12011386,6
RTD6055445,15:00:00,15:00:00,12011322,7
RTD6055445,15:04:00,15:04:00,12011347,8
